h_Country,h_RegNumber,h_Name,h_Website,merged,matchedOn,h_IsEcommerce,import from master,import from builtwith,score,h_HasMarketingDepartment,h_NOfEmployees,HasGoogleAdsOrFacebookAds,h_Industry1,h_Industry3,Industry_n_norm,h_HasFbOrGoogle,,h_Website_Match FB||GOOGLE
DK,42930261,IBEX GYMWEAR I/S,hereford.org,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,roegeri.dk
DK,19277836,HAVEMØBELLAND ApS,xn--havembelland-zjb.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,26,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialised stores,,,,miramiro.dk
DK,13237689,GETINGE DANMARK A/S,getinge.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,56,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,lieu-dit.dk
DK,31332702,Gavefabrikken Inc,a58uy1lh5t1oilb67l0gaveklubben.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,69,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,leiflarsenmarine.dk
DK,24461017,BROSTE COPENHAGEN A/S,brostecopenhagen.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,35,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,scandiengros.dk
DK,31937817,BRANDS OF SCANDINAVIA A/S,brandsofscandinavia.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,scandidact.dk
DK,10888638,ASTELLAS PHARMA A/S,astellas.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,75,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,premium-bilpleje.dk
DK,27072666,ACTIONSPORTGAMES A/S,actionsportgames.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,petrochem.dk
DK,36478853,ABACUS DANMARK ApS,abacussportswear.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,onsightvision.dk
DK,13902992,STADA NORDIC ApS,stada.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,37,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,officecph.dk
DK,34725683,SOFT SALES ApS,soft-rebels.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,multitryk.dk
DK,12322496,INSIGHT COSMETICS A/S,icgroup.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,47,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,magisketider.dk
DK,30582136,MADS NORGAARD - COPENHAGEN A/S,madsnorgaard.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,krystalhulen.dk
DK,32142486,KENTAUR A/S,kentaur.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,51,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,hrskov.dk
DK,36542225,ROCCAMORE ApS,roccamore.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,57,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialised stores,,,,cleanmess.dk
